id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
infinix_1_1,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Any time,Unknown,Mobile Phones,Unknown,https://jiji.com.et/addis-ketema/tv-dvd-equipment/infinix-43-inch-smart-tv-iS11byTyYCYTI5HxdNlQDPjr.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=216&lid=d76pli8J9os_jIWw&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,1,2026-01-15T13:00:24.391277,Jiji Ethiopia
infinix_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,2,2026-01-15T13:00:24.393082,Jiji Ethiopia
infinix_1_3,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,infinix,1,3,2026-01-15T13:00:24.397071,Jiji Ethiopia
infinix_1_4,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,infinix,1,4,2026-01-15T13:00:24.400375,Jiji Ethiopia
infinix_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,5,2026-01-15T13:00:24.403367,Jiji Ethiopia
infinix_1_6,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,infinix,1,6,2026-01-15T13:00:24.405361,Jiji Ethiopia
infinix_1_7,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/addis-ketema/tv-dvd-equipment/infinix-43-inch-smart-tv-iS11byTyYCYTI5HxdNlQDPjr.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=216&lid=d76pli8J9os_jIWw&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,7,2026-01-15T13:00:24.471429,Jiji Ethiopia
infinix_1_8,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/addis-ketema/tv-dvd-equipment/infinix-43-inch-smart-tv-iS11byTyYCYTI5HxdNlQDPjr.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=216&lid=d76pli8J9os_jIWw&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,8,2026-01-15T13:00:24.531269,Jiji Ethiopia
infinix_1_9,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/addis-ketema/tv-dvd-equipment/infinix-43-inch-smart-tv-iS11byTyYCYTI5HxdNlQDPjr.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=216&lid=d76pli8J9os_jIWw&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,9,2026-01-15T13:00:24.535258,Jiji Ethiopia
infinix_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,10,2026-01-15T13:00:24.537253,Jiji Ethiopia
infinix_1_11,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/8905749_MzAwLTM3MC0wMmYyYzYwZWM0LTE.webp,infinix,1,11,2026-01-15T13:00:24.538250,Jiji Ethiopia
infinix_1_12,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,infinix,1,12,2026-01-15T13:00:24.540245,Jiji Ethiopia
infinix_1_13,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,infinix,1,13,2026-01-15T13:00:24.543266,Jiji Ethiopia
infinix_1_14,Infinix 43 Inch Smart Tv,"ETB 43,999",43999.0,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,infinix,1,14,2026-01-15T13:00:24.544264,Jiji Ethiopia
infinix_1_15,No Title,"ETB 43,999",43999.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,15,2026-01-15T13:00:24.545262,Jiji Ethiopia
infinix_1_16,No Title,"ETB 43,999",43999.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,16,2026-01-15T13:00:24.546259,Jiji Ethiopia
infinix_1_17,No Title,"ETB 43,999",43999.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,17,2026-01-15T13:00:24.547255,Jiji Ethiopia
infinix_1_18,No Title,"ETB 43,999",43999.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,18,2026-01-15T13:00:24.547255,Jiji Ethiopia
infinix_1_19,Infinix 43 Inch Smart Tv,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,infinix,1,19,2026-01-15T13:00:24.549226,Jiji Ethiopia
infinix_1_20,Infinix 43 Inch Smart Tv,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,infinix,1,20,2026-01-15T13:00:24.550254,Jiji Ethiopia
infinix_1_21,Infinix 43 Inch Smart Tv,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,infinix,1,21,2026-01-15T13:00:24.550254,Jiji Ethiopia
infinix_1_22,No Title,Price not listed,,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,infinix,1,22,2026-01-15T13:00:24.553246,Jiji Ethiopia
infinix_1_23,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,23,2026-01-15T13:00:24.553246,Jiji Ethiopia
infinix_1_24,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,24,2026-01-15T13:00:24.554211,Jiji Ethiopia
infinix_1_25,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,25,2026-01-15T13:00:24.555243,Jiji Ethiopia
infinix_1_26,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,26,2026-01-15T13:00:24.556238,Jiji Ethiopia
infinix_1_27,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,27,2026-01-15T13:00:24.556780,Jiji Ethiopia
infinix_1_28,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,infinix,1,28,2026-01-15T13:00:24.557814,Jiji Ethiopia
infinix_1_29,No Title,Price not listed,,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,infinix,1,29,2026-01-15T13:00:24.558810,Jiji Ethiopia
infinix_1_30,No Title,Price not listed,,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Other,Unknown,,,infinix,1,30,2026-01-15T13:00:24.559808,Jiji Ethiopia
infinix_1_31,No Title,Price not listed,,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Other,Unknown,,,infinix,1,31,2026-01-15T13:00:24.560802,Jiji Ethiopia
infinix_1_32,No Title,Price not listed,,ETB,"Addis Ababa, Addis Ketema",Recently,Unknown,Other,Unknown,,,infinix,1,32,2026-01-15T13:00:24.560802,Jiji Ethiopia
infinix_1_33,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,infinix,1,33,2026-01-15T13:00:24.561796,Jiji Ethiopia
