id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
iphone 11_1_1,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Any time,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-11-256-gb-fcF4Vm9UNQK7CNnrMPLX1jhX.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1465&lid=jisPAfu4ZJn-HAQh&indexPosition=0,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,1,2026-01-01T14:33:24.439858,Jiji Ethiopia
iphone 11_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,2,2026-01-01T14:33:24.440856,Jiji Ethiopia
iphone 11_1_3,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 11,1,3,2026-01-01T14:33:24.444356,Jiji Ethiopia
iphone 11_1_4,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 11,1,4,2026-01-01T14:33:24.448365,Jiji Ethiopia
iphone 11_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,5,2026-01-01T14:33:24.449351,Jiji Ethiopia
iphone 11_1_6,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 11,1,6,2026-01-01T14:33:24.450348,Jiji Ethiopia
iphone 11_1_7,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-11-256-gb-fcF4Vm9UNQK7CNnrMPLX1jhX.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1465&lid=jisPAfu4ZJn-HAQh&indexPosition=0,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,7,2026-01-01T14:33:24.530654,Jiji Ethiopia
iphone 11_1_8,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-11-256-gb-fcF4Vm9UNQK7CNnrMPLX1jhX.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1465&lid=jisPAfu4ZJn-HAQh&indexPosition=0,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,8,2026-01-01T14:33:24.594715,Jiji Ethiopia
iphone 11_1_9,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-11-256-gb-fcF4Vm9UNQK7CNnrMPLX1jhX.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1465&lid=jisPAfu4ZJn-HAQh&indexPosition=0,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,9,2026-01-01T14:33:24.598704,Jiji Ethiopia
iphone 11_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,10,2026-01-01T14:33:24.600698,Jiji Ethiopia
iphone 11_1_11,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/9151042_MzAwLTM0NC0wZTZmNjVmMDI3.webp,iphone 11,1,11,2026-01-01T14:33:24.601699,Jiji Ethiopia
iphone 11_1_12,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone 11,1,12,2026-01-01T14:33:24.604407,Jiji Ethiopia
iphone 11_1_13,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone 11,1,13,2026-01-01T14:33:24.607442,Jiji Ethiopia
iphone 11_1_14,New Apple iPhone 11 256 GB,"ETB 53,000",53000.0,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 11,1,14,2026-01-01T14:33:24.608440,Jiji Ethiopia
iphone 11_1_15,No Title,"ETB 53,000",53000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,15,2026-01-01T14:33:24.609436,Jiji Ethiopia
iphone 11_1_16,No Title,"ETB 53,000",53000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,16,2026-01-01T14:33:24.610434,Jiji Ethiopia
iphone 11_1_17,No Title,"ETB 53,000",53000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,17,2026-01-01T14:33:24.610434,Jiji Ethiopia
iphone 11_1_18,No Title,"ETB 53,000",53000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,18,2026-01-01T14:33:24.610434,Jiji Ethiopia
iphone 11_1_19,New Apple iPhone 11 256 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 11,1,19,2026-01-01T14:33:24.612536,Jiji Ethiopia
iphone 11_1_20,New Apple iPhone 11 256 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 11,1,20,2026-01-01T14:33:24.613832,Jiji Ethiopia
iphone 11_1_21,New Apple iPhone 11 256 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 11,1,21,2026-01-01T14:33:24.614821,Jiji Ethiopia
iphone 11_1_22,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone 11,1,22,2026-01-01T14:33:24.616810,Jiji Ethiopia
iphone 11_1_23,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,23,2026-01-01T14:33:24.617781,Jiji Ethiopia
iphone 11_1_24,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,24,2026-01-01T14:33:24.617781,Jiji Ethiopia
iphone 11_1_25,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,25,2026-01-01T14:33:24.618805,Jiji Ethiopia
iphone 11_1_26,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 11,1,26,2026-01-01T14:33:24.619802,Jiji Ethiopia
