id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
iphone 13 pro max_1_1,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Any time,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=933&lid=KbxbZVt3rzkbo5jc&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone 13 pro max,1,1,2026-01-01T14:42:57.481191,Jiji Ethiopia
iphone 13 pro max_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13 pro max,1,2,2026-01-01T14:42:57.482157,Jiji Ethiopia
iphone 13 pro max_1_3,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13 pro max,1,3,2026-01-01T14:42:57.486239,Jiji Ethiopia
iphone 13 pro max_1_4,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13 pro max,1,4,2026-01-01T14:42:57.490207,Jiji Ethiopia
iphone 13 pro max_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13 pro max,1,5,2026-01-01T14:42:57.491222,Jiji Ethiopia
iphone 13 pro max_1_6,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13 pro max,1,6,2026-01-01T14:42:57.493218,Jiji Ethiopia
iphone 13 pro max_1_7,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=933&lid=KbxbZVt3rzkbo5jc&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone 13 pro max,1,7,2026-01-01T14:42:57.557561,Jiji Ethiopia
iphone 13 pro max_1_8,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=933&lid=KbxbZVt3rzkbo5jc&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone 13 pro max,1,8,2026-01-01T14:42:57.615979,Jiji Ethiopia
iphone 13 pro max_1_9,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=933&lid=KbxbZVt3rzkbo5jc&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone 13 pro max,1,9,2026-01-01T14:42:57.619965,Jiji Ethiopia
iphone 13 pro max_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone 13 pro max,1,10,2026-01-01T14:42:57.621964,Jiji Ethiopia
