title,price,scraped_at,source
Xiaomi Redmi K40 256 GB White,"ETB 24,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
Samsung Galaxy S10 512 GB,"ETB 22,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
Tecno Spark 10 5G 256 GB Black,"ETB 15,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Samsung Galaxy F05 64 GB Blue,"ETB 14,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Nokia 5310 XpressMusic,"ETB 5,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Infinix Hot 50i 128 GB Silver,"ETB 16,900",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Porsche Taycan Cross Turismo Turbo Cross Turismo AWD 2025 Black,"ETB 35,000,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Toyota Sequoia 2023 Gold,"ETB 7,000,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Hummer H3 2006 Matt Black,"ETB 6,500,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Toyota Yaris Cross 2024 Gray,"ETB 2,700,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Toyota Corolla 2003 Blue,"ETB 1,650,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Server 16GB HDD 512GB,"ETB 15,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Laptop Lenovo Ideapad 3 8GB Intel Core I5 SSD 256GB,"ETB 25,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Laptop HP Pavilion 15 8GB AMD Ryzen 5 SSD 512GB,"ETB 62,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Server 8GB Apple M2 SSD 256GB,"ETB 180,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Realme GT Neo 5 256 GB White,"ETB 55,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Samsung Galaxy A16 128 GB Black,"ETB 22,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
OnePlus 11 256 GB Black,"ETB 54,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Samsung Galaxy S21+ 5G 128 GB,"ETB 33,999",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Asus ROG Phone 3 512 GB Black,"ETB 37,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
Apple iPhone X 64 GB Black,"ETB 13,300",2025-12-28T12:56:39.373541,Jiji Ethiopia
Hyundai Bayon 2021 Silver,"ETB 3,650,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Toyota RAV4 2010 Gold,"ETB 2,000,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Toyota Yaris Base Sedan 4dr 2010 Silver,"ETB 1,600,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Nissan Qashqai 2018 Silver,"ETB 2,630,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Suzuki Dzire 2022 Silver,"ETB 2,600,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Laptop HP EliteBook 840 G5 16GB Intel Core I5 SSD 512GB,"ETB 53,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 512GB,"ETB 820,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Laptop HP Envy X360 16GB AMD Ryzen 5 SSD 512GB,"ETB 60,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Server 8GB SSD 256GB,"ETB 450,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
Oppo Reno 5 128 GB Black,"ETB 16,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
OnePlus 10 Pro 256 GB Black,"ETB 44,999",2025-12-28T12:56:39.373541,Jiji Ethiopia
Samsung Galaxy Z Flip 256 GB Black,"ETB 16,500",2025-12-28T12:56:39.373541,Jiji Ethiopia
Tecno Spark 5 Air 32 GB Black,"ETB 6,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Nokia 6300,"ETB 5,000",2025-12-28T12:56:39.373541,Jiji Ethiopia
New Avatr 12 2025 White,"ETB 13,000,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota FJ Cruiser 2008 Brown,"ETB 5,000,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Hyundai Creta 2021 Gray,"ETB 4,800,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Hyundai I10 2021 Brown,"ETB 2,650,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota Avanza 2015 Silver,"ETB 1,900,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota Yaris 2017 Silver,"ETB 2,850,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop Asus VivoBook 15 X505BA 16GB Intel Core I5 SSD 512GB,"ETB 39,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Desktop Computer Dell OptiPlex 7010 16GB Intel Core I7 HDD+SSD 1T,"ETB 31,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop Alienware M17x R2 24GB AMD Ryzen 9 SSD 1T,"ETB 122,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop Dell Precision 7780 32GB Intel Core I7 SSD 1T,"ETB 196,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Samsung Galaxy Note 10 5G 256 GB Black,"ETB 29,999",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Xiaomi Redmi Note 9 Pro 128 GB Blue,"ETB 17,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Apple iPhone 11 64 GB Black,"ETB 21,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Samsung Galaxy A50 128 GB Blue,"ETB 8,999",2025-12-28T12:56:39.374506,Jiji Ethiopia
Xiaomi 13T Pro 512 GB Black,"ETB 47,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota 4-Runner 1999 White,"ETB 1,850,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota Aygo 2020 Red,"ETB 1,200,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota Corolla 2005 Silver,"ETB 2,300,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota Hilux Revo Double Cab Deisel 2.4 RWD 2017 Gray,"ETB 12,000,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Mitsubishi Attrage 2022 White,"ETB 2,680,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
Toyota C-HR 2017 Gray,"ETB 4,150,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 1T,"ETB 284,400",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop HP EliteBook 840 G5 16GB Intel Core I5 SSD 512GB,"ETB 33,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Laptop Lenovo V15 8GB Intel Core I7 SSD 512GB,"ETB 55,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
New Desktop Computer 16GB Intel Core i9 SSD 1T,"ETB 85,000",2025-12-28T12:56:39.374506,Jiji Ethiopia
