title,price_text,price_birr,scraped_at,source,page
Xiaomi Redmi K40 256 GB White,"ETB 24,500",,2026-01-01T13:22:07.325769,Jiji Ethiopia,1
New Samsung Galaxy S10 5G 256 GB Purple,"ETB 26,500",,2026-01-01T13:22:07.326766,Jiji Ethiopia,1
OnePlus 11 256 GB Black,"ETB 54,500",,2026-01-01T13:22:07.326766,Jiji Ethiopia,1
New Samsung Galaxy F05 64 GB Blue,"ETB 14,500",,2026-01-01T13:22:07.327237,Jiji Ethiopia,1
New Asus ROG Phone 3 512 GB Black,"ETB 37,500",,2026-01-01T13:22:07.327316,Jiji Ethiopia,1
Tecno Spark 20 128 GB Bronze,"ETB 11,000",,2026-01-01T13:22:07.327316,Jiji Ethiopia,1
Toyota 4-Runner 1999 White,"ETB 1,850,000",,2026-01-01T13:22:07.327316,Jiji Ethiopia,1
New Porsche Taycan Cross Turismo Turbo Cross Turismo AWD 2025 Black,"ETB 35,000,000",,2026-01-01T13:22:07.327316,Jiji Ethiopia,1
Toyota Yaris Cross 2024 Gray,"ETB 2,700,000",,2026-01-01T13:22:07.327316,Jiji Ethiopia,1
Mitsubishi Attrage 2022 White,"ETB 2,680,000",,2026-01-01T13:22:07.328319,Jiji Ethiopia,1
Toyota Yaris Base Sedan 4dr 2010 Silver,"ETB 1,600,000",,2026-01-01T13:22:07.328319,Jiji Ethiopia,1
New Server 16GB HDD 512GB,"ETB 15,000",,2026-01-01T13:22:07.328319,Jiji Ethiopia,1
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 1T,"ETB 284,400",,2026-01-01T13:22:07.328319,Jiji Ethiopia,1
New Laptop HP Pavilion 15 8GB AMD Ryzen 5 SSD 512GB,"ETB 62,000",,2026-01-01T13:22:07.329163,Jiji Ethiopia,1
New Laptop Alienware M17x R2 24GB AMD Ryzen 9 SSD 1T,"ETB 122,000",,2026-01-01T13:22:07.329163,Jiji Ethiopia,1
Realme GT Neo 5 256 GB White,"ETB 55,000",,2026-01-01T13:22:07.329163,Jiji Ethiopia,1
New Samsung Galaxy S21+ 5G 128 GB,"ETB 33,999",,2026-01-01T13:22:07.329163,Jiji Ethiopia,1
Tecno Spark 5 Air 32 GB Black,"ETB 6,000",,2026-01-01T13:22:07.329163,Jiji Ethiopia,1
New Samsung Galaxy S25 Ultra 256 GB Black,"ETB 168,000",,2026-01-01T13:22:07.330163,Jiji Ethiopia,1
