id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
raspberry pi_1_1,Raspberry Pi 4 Kit,"ETB 25,500",25500.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,https://jiji.com.et/bole/accessories-and-supplies-for-electronics/raspberry-pi-4-kit-yrltzZPloGJYTFz76lVEcWgB.html?page=1&pos=1&cur_pos=1&ads_per_page=18&ads_count=32&lid=m5-FAkjQdGb2bomQ&indexPosition=0,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,1,2026-01-01T14:36:03.248605,Jiji Ethiopia
raspberry pi_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,raspberry pi,1,2,2026-01-01T14:36:03.250627,Jiji Ethiopia
raspberry pi_1_3,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,raspberry pi,1,3,2026-01-01T14:36:03.252589,Jiji Ethiopia
raspberry pi_1_4,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,raspberry pi,1,4,2026-01-01T14:36:03.255614,Jiji Ethiopia
raspberry pi_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,raspberry pi,1,5,2026-01-01T14:36:03.256613,Jiji Ethiopia
raspberry pi_1_6,Raspberry Pi 4 Kit,"ETB 25,500",25500.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,https://jiji.com.et/bole/accessories-and-supplies-for-electronics/raspberry-pi-4-kit-yrltzZPloGJYTFz76lVEcWgB.html?page=1&pos=1&cur_pos=1&ads_per_page=18&ads_count=32&lid=m5-FAkjQdGb2bomQ&indexPosition=0,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,6,2026-01-01T14:36:03.317042,Jiji Ethiopia
raspberry pi_1_7,Raspberry Pi 4 Kit,"ETB 25,500",25500.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,https://jiji.com.et/bole/accessories-and-supplies-for-electronics/raspberry-pi-4-kit-yrltzZPloGJYTFz76lVEcWgB.html?page=1&pos=1&cur_pos=1&ads_per_page=18&ads_count=32&lid=m5-FAkjQdGb2bomQ&indexPosition=0,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,7,2026-01-01T14:36:03.366902,Jiji Ethiopia
raspberry pi_1_8,Raspberry Pi 4 Kit,"ETB 25,500",25500.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,https://jiji.com.et/bole/accessories-and-supplies-for-electronics/raspberry-pi-4-kit-yrltzZPloGJYTFz76lVEcWgB.html?page=1&pos=1&cur_pos=1&ads_per_page=18&ads_count=32&lid=m5-FAkjQdGb2bomQ&indexPosition=0,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,8,2026-01-01T14:36:03.372670,Jiji Ethiopia
raspberry pi_1_9,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,9,2026-01-01T14:36:03.374550,Jiji Ethiopia
raspberry pi_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/3226303_MzAwLTIyNS1lZTI3MzMzNGY2LTE.webp,raspberry pi,1,10,2026-01-01T14:36:03.375296,Jiji Ethiopia
