id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
iphone13pro_1_1,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Any time,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1397&lid=W5Nyko6cwEs3g_8P&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,1,2026-01-01T14:44:20.584894,Jiji Ethiopia
iphone13pro_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,2,2026-01-01T14:44:20.586890,Jiji Ethiopia
iphone13pro_1_3,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone13pro,1,3,2026-01-01T14:44:20.591848,Jiji Ethiopia
iphone13pro_1_4,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone13pro,1,4,2026-01-01T14:44:20.596835,Jiji Ethiopia
iphone13pro_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,5,2026-01-01T14:44:20.597835,Jiji Ethiopia
iphone13pro_1_6,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone13pro,1,6,2026-01-01T14:44:20.602821,Jiji Ethiopia
iphone13pro_1_7,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1397&lid=W5Nyko6cwEs3g_8P&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,7,2026-01-01T14:44:20.668647,Jiji Ethiopia
iphone13pro_1_8,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1397&lid=W5Nyko6cwEs3g_8P&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,8,2026-01-01T14:44:20.725010,Jiji Ethiopia
iphone13pro_1_9,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/apple-iphone-13-pro-max-256-gb-silver-2HZS8NXdism2ZVjpP4iEYVpk.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=1397&lid=W5Nyko6cwEs3g_8P&indexPosition=0,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,9,2026-01-01T14:44:20.729000,Jiji Ethiopia
iphone13pro_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,10,2026-01-01T14:44:20.729998,Jiji Ethiopia
iphone13pro_1_11,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/7463836_MzAwLTU1Mi01MTBkMjlhNTli.webp,iphone13pro,1,11,2026-01-01T14:44:20.730995,Jiji Ethiopia
iphone13pro_1_12,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,12,2026-01-01T14:44:20.731992,Jiji Ethiopia
iphone13pro_1_13,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone13pro,1,13,2026-01-01T14:44:20.733987,Jiji Ethiopia
iphone13pro_1_14,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,"Addis Ababa, Bole",Recently,Unknown,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone13pro,1,14,2026-01-01T14:44:20.735982,Jiji Ethiopia
iphone13pro_1_15,Apple iPhone 13 Pro Max 256 GB Silver,"ETB 95,000",95000.0,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,iphone13pro,1,15,2026-01-01T14:44:20.737976,Jiji Ethiopia
iphone13pro_1_16,No Title,"ETB 95,000",95000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,16,2026-01-01T14:44:20.737976,Jiji Ethiopia
iphone13pro_1_17,No Title,"ETB 95,000",95000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,17,2026-01-01T14:44:20.738974,Jiji Ethiopia
iphone13pro_1_18,No Title,"ETB 95,000",95000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,18,2026-01-01T14:44:20.739971,Jiji Ethiopia
iphone13pro_1_19,No Title,"ETB 95,000",95000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone13pro,1,19,2026-01-01T14:44:20.739971,Jiji Ethiopia
iphone13pro_1_20,Apple iPhone 13 Pro Max 256 GB Silver,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,iphone13pro,1,20,2026-01-01T14:44:20.740968,Jiji Ethiopia
iphone13pro_1_21,Apple iPhone 13 Pro Max 256 GB Silver,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,iphone13pro,1,21,2026-01-01T14:44:20.741966,Jiji Ethiopia
iphone13pro_1_22,Apple iPhone 13 Pro Max 256 GB Silver,Price not listed,,ETB,Location not specified,Recently,Unknown,Mobile Phones,Unknown,,,iphone13pro,1,22,2026-01-01T14:44:20.742963,Jiji Ethiopia
iphone13pro_1_23,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/ps-vip-icon.svg,iphone13pro,1,23,2026-01-01T14:44:20.744958,Jiji Ethiopia
